Symbol,CompanyName,Sector,FirstDate,LastDate,TradingDays,MaxHigh,MinLow,LatestClose,TotalVolume,TotalValue
MFIL,Manjushree Finance Ltd.,Finance,2024-12-03,2025-12-03,226,777.2,545.0,612.0,6533357,4281295367.51
MFLD85,Manjushree Finance Ltd.,Finance,2024-12-03,2025-12-03,226,1163.0,1037.1,1154.7,9156,9902609.9
MHCL,Molung Hydropower Company Limited,Hydro Power,2024-12-03,2025-12-03,226,655.0,363.0,395.0,6885576,3726425290.2
MHL,Mandakini Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,1088.0,445.0,486.2,3938471,2510675782.0
MHNL,Mountain Hydro Nepal Limited,Hydro Power,2024-12-03,2025-12-03,226,316.0,226.0,246.0,6761749,1841561066.2
MKCL,Muktinath Krishi Company Limited,Others,2024-12-03,2025-12-03,226,1900.0,1333.0,1364.9,1970746,3171419153.0
MKHC,Maya Khola Hydropower Company Limited,Hydro Power,2024-12-03,2025-12-03,226,627.0,334.2,395.0,6968025,3574627992.6
MKHL,MaiKhola Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,1027.0,603.1,816.0,5208981,3827248923.04
MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydro Power,2024-12-03,2025-12-03,226,635.0,475.5,535.0,10559719,6010783365.5
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,2019.0,1345.0,1661.0,1280174,2055933734.8
MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks,2024-12-03,2025-12-03,226,488.0,348.9,382.0,21235680,8721235835.1
MLBLD89,Mahalaxmi Bikas Bank Ltd.,Development Banks,2024-12-03,2025-12-03,226,1350.0,1158.0,1323.1,23095,28023596.099999998
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,2530.0,1395.0,1519.8,647838,1294072582.7
MLBSL,Mahila Laghubitta Bittiya Sanstha Ltd,Microfinance,2024-12-03,2025-12-03,226,2631.0,1892.0,2018.9,660669,1517969489.1
MMF1,Mega  Bank Nepal Ltd.,Commercial Banks,2024-12-03,2025-12-03,226,9.95,8.05,8.48,12200977,110546611.75
MMKJL,Mathillo Mailun Khola Jalvidhyut Ltd.,Hydro Power,2024-12-03,2025-12-03,226,890.4,528.2,584.2,4665110,3318260610.43
MNBBL,Muktinath Bikas Bank Ltd.,Development Banks,2024-12-03,2025-12-03,226,503.0,343.6,347.9,17961188,7607835028.8
MND84/85,Muktinath Bikas Bank Ltd.,Development Banks,2024-12-03,2025-12-03,226,1125.0,1015.0,1125.0,10767,11585973.5
MNMF1,Muktinath Bikas Bank Ltd.,Development Banks,2025-01-07,2025-12-03,204,10.42,0.0,8.99,5953954,55536078.46
MPFL,Multipurpose Finance Company  Limited,Finance,2024-12-03,2025-12-03,226,807.8,491.0,559.0,5015564,3262395166.6
MSHL,Mid solu Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,1135.0,808.5,912.0,1271671,1225703507.3
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,1710.0,1130.2,1466.9,1283546,1845302808.1
NABBC,Narayani Development Bank Limited,Development Banks,2024-12-03,2025-12-03,226,2060.0,662.0,1075.0,10906881,15379299273.9
